sveitarfelag,ar,hluti,name,obs,vidmid,diff,colour
Akureyrarbær,2010,A-hluti,veltufe,0.0797508763985011,0.052791099890187286,0.02695977650831382,TRUE
Akureyrarbær,2010,A-hluti,veltufjarhlutfall,1.4324311257769933,1,0.4324311257769933,TRUE
Akureyrarbær,2010,A og B-hluti,nettoskuldir,1.157350323433785,1,0.15735032343378497,TRUE
Akureyrarbær,2010,A og B-hluti,rekstrarnidurstada,-0.049555043706089666,0,-0.049555043706089666,FALSE
Akureyrarbær,2010,A og B-hluti,framlegd,0.16213365223039566,0.1157350323433785,0.04639861988701717,TRUE
Akureyrarbær,2010,A og B-hluti,veltufe,0.14998227054725335,0.05786751617168925,0.0921147543755641,TRUE
Akureyrarbær,2010,A og B-hluti,veltufjarhlutfall,1.3057479746963732,1,0.30574797469637316,TRUE
Akureyrarbær,2011,A-hluti,nettoskuldir,1.1230402319947712,1,0.12304023199477121,TRUE
Akureyrarbær,2011,A-hluti,rekstrarnidurstada,-0.0044180991000990575,0,-0.0044180991000990575,FALSE
Akureyrarbær,2011,A-hluti,framlegd,0.07078713510861284,0.11230402319947712,-0.041516888090864276,FALSE
Akureyrarbær,2011,A-hluti,veltufe,0.055150138671313194,0.05615201159973856,-0.0010018729284253652,FALSE
Akureyrarbær,2011,A-hluti,veltufjarhlutfall,1.2944264180291907,1,0.2944264180291907,TRUE
Akureyrarbær,2011,A og B-hluti,nettoskuldir,1.1583537743321142,1,0.15835377433211417,TRUE
Akureyrarbær,2011,A og B-hluti,rekstrarnidurstada,0.05156161492477242,0,0.05156161492477242,TRUE
Akureyrarbær,2011,A og B-hluti,framlegd,0.1426781817797948,0.11583537743321141,0.026842804346583385,TRUE
Akureyrarbær,2011,A og B-hluti,veltufe,0.11654678222030053,0.05791768871660571,0.05862909350369482,TRUE
Akureyrarbær,2011,A og B-hluti,veltufjarhlutfall,1.2399130727936876,1,0.23991307279368757,TRUE
Akureyrarbær,2012,A-hluti,nettoskuldir,1.194237846777056,1,0.19423784677705602,TRUE
Akureyrarbær,2012,A-hluti,rekstrarnidurstada,-0.030552363068934617,0,-0.030552363068934617,FALSE
Akureyrarbær,2012,A-hluti,framlegd,0.06551433017915251,0.1194237846777056,-0.0539094544985531,FALSE
Akureyrarbær,2012,A-hluti,veltufe,0.07015124142450238,0.0597118923388528,0.010439349085649578,TRUE
Akureyrarbær,2012,A-hluti,veltufjarhlutfall,1.2705053452828763,1,0.2705053452828763,TRUE
Akureyrarbær,2012,A og B-hluti,nettoskuldir,1.1483898665549426,1,0.14838986655494257,TRUE
Akureyrarbær,2012,A og B-hluti,rekstrarnidurstada,0.021410718772810856,0,0.021410718772810856,TRUE
Akureyrarbær,2012,A og B-hluti,framlegd,0.14705988394896902,0.11483898665549426,0.03222089729347476,TRUE
Akureyrarbær,2012,A og B-hluti,veltufe,0.12393696702437826,0.05741949332774713,0.06651747369663114,TRUE
Akureyrarbær,2012,A og B-hluti,veltufjarhlutfall,1.2768913028514344,1,0.2768913028514344,TRUE
Akureyrarbær,2013,A-hluti,nettoskuldir,0.9221219544757576,1,-0.07787804552424238,FALSE
Akureyrarbær,2013,A-hluti,rekstrarnidurstada,0.011325655822642524,0,0.011325655822642524,TRUE
Akureyrarbær,2013,A-hluti,framlegd,0.12831478109348088,0.09221219544757576,0.036102585645905114,TRUE
Akureyrarbær,2013,A-hluti,veltufe,0.08763819238974233,0.04610609772378788,0.04153209466595444,TRUE
Akureyrarbær,2013,A-hluti,veltufjarhlutfall,1.0654857305857954,1,0.06548573058579543,TRUE
Akureyrarbær,2013,A og B-hluti,nettoskuldir,1.0325768726823337,1,0.03257687268233367,TRUE
Akureyrarbær,2013,A og B-hluti,rekstrarnidurstada,0.006326286547333987,0,0.006326286547333987,TRUE
Akureyrarbær,2013,A og B-hluti,framlegd,0.17618903165406166,0.10325768726823337,0.0729313443858283,TRUE
Akureyrarbær,2013,A og B-hluti,veltufe,0.13437583125161914,0.05162884363411668,0.08274698761750246,TRUE
Akureyrarbær,2013,A og B-hluti,veltufjarhlutfall,1.1959260921008246,1,0.19592609210082457,TRUE
Akureyrarbær,2014,A-hluti,nettoskuldir,0.888234396832683,1,-0.11176560316731698,FALSE
Akureyrarbær,2014,A-hluti,rekstrarnidurstada,0.025253209813842603,0,0.025253209813842603,TRUE
Akureyrarbær,2014,A-hluti,framlegd,0.06414478251048887,0.08882343968326831,-0.024678657172779436,FALSE
Akureyrarbær,2014,A-hluti,veltufe,0.06356684621079739,0.044411719841634154,0.019155126369163236,TRUE
Akureyrarbær,2014,A-hluti,veltufjarhlutfall,0.9331666293899993,1,-0.06683337061000072,FALSE
Akureyrarbær,2014,A og B-hluti,nettoskuldir,0.9679484927370416,1,-0.032051507262958356,FALSE
Akureyrarbær,2014,A og B-hluti,rekstrarnidurstada,0.02290873382462034,0,0.02290873382462034,TRUE
Akureyrarbær,2014,A og B-hluti,framlegd,0.12537541374766398,0.09679484927370416,0.02858056447395982,TRUE
Akureyrarbær,2014,A og B-hluti,veltufe,0.11203889829809703,0.04839742463685208,0.06364147366124495,TRUE
Akureyrarbær,2014,A og B-hluti,veltufjarhlutfall,1.117491335287336,1,0.11749133528733591,TRUE
Akureyrarbær,2015,A-hluti,nettoskuldir,0.8390776301367304,1,-0.16092236986326958,FALSE
Akureyrarbær,2015,A-hluti,rekstrarnidurstada,0.03017165340403602,0,0.03017165340403602,TRUE
Akureyrarbær,2015,A-hluti,framlegd,0.041537250125481186,0.08390776301367305,-0.04237051288819186,FALSE
Akureyrarbær,2015,A-hluti,veltufe,0.045122259454147245,0.04195388150683652,0.003168377947310723,TRUE
Akureyrarbær,2015,A-hluti,veltufjarhlutfall,1.081392557646714,1,0.08139255764671405,TRUE
Akureyrarbær,2015,A og B-hluti,nettoskuldir,0.8535240504278866,1,-0.1464759495721134,FALSE
Akureyrarbær,2015,A og B-hluti,rekstrarnidurstada,0.04405798255225563,0,0.04405798255225563,TRUE
Akureyrarbær,2015,A og B-hluti,framlegd,0.11176356387665987,0.08535240504278865,0.026411158833871212,TRUE
Akureyrarbær,2015,A og B-hluti,veltufe,0.10978625771248338,0.04267620252139433,0.06711005519108905,TRUE
Akureyrarbær,2015,A og B-hluti,veltufjarhlutfall,1.5826641080059445,1,0.5826641080059445,TRUE
Akureyrarbær,2016,A-hluti,nettoskuldir,0.7659099286705282,1,-0.2340900713294718,FALSE
Akureyrarbær,2016,A-hluti,rekstrarnidurstada,-0.020337432243516387,0,-0.020337432243516387,FALSE
Akureyrarbær,2016,A-hluti,framlegd,0.03890992505025503,0.07659099286705282,-0.03768106781679779,FALSE
Akureyrarbær,2016,A-hluti,veltufe,0.0853817699776914,0.03829549643352641,0.04708627354416499,TRUE
Akureyrarbær,2016,A-hluti,veltufjarhlutfall,1.112575693749671,1,0.11257569374967091,TRUE
Akureyrarbær,2016,A og B-hluti,nettoskuldir,0.8242500913897661,1,-0.17574990861023387,FALSE
Akureyrarbær,2016,A og B-hluti,rekstrarnidurstada,0.024970508124259952,0,0.024970508124259952,TRUE
Akureyrarbær,2016,A og B-hluti,framlegd,0.1014129536773032,0.08242500913897662,0.018987944538326584,TRUE
Akureyrarbær,2016,A og B-hluti,veltufe,0.11709325430370583,0.04121250456948831,0.07588074973421752,TRUE
Akureyrarbær,2016,A og B-hluti,veltufjarhlutfall,1.5793134600670944,1,0.5793134600670944,TRUE
Akureyrarbær,2017,A-hluti,nettoskuldir,0.7719937593567079,1,-0.2280062406432921,FALSE
Akureyrarbær,2017,A-hluti,rekstrarnidurstada,-0.026727258758288665,0,-0.026727258758288665,FALSE
Akureyrarbær,2017,A-hluti,framlegd,0.03858792185964247,0.07719937593567079,-0.03861145407602832,FALSE
Akureyrarbær,2017,A-hluti,veltufe,0.10744396862036171,0.038599687967835396,0.06884428065252632,TRUE
Akureyrarbær,2017,A-hluti,veltufjarhlutfall,0.9418317370914334,1,-0.05816826290856658,FALSE
Akureyrarbær,2017,A og B-hluti,nettoskuldir,0.8256917917071614,1,-0.17430820829283855,FALSE
Akureyrarbær,2017,A og B-hluti,rekstrarnidurstada,0.023814108957009743,0,0.023814108957009743,TRUE
Akureyrarbær,2017,A og B-hluti,framlegd,0.11945845922106901,0.08256917917071614,0.03688928005035287,TRUE
Akureyrarbær,2017,A og B-hluti,veltufe,0.13806871881791166,0.04128458958535807,0.09678412923255358,TRUE
Akureyrarbær,2017,A og B-hluti,veltufjarhlutfall,0.8623016563055373,1,-0.13769834369446265,FALSE
Akureyrarbær,2018,A-hluti,nettoskuldir,0.8591539317404099,1,-0.14084606825959012,FALSE
Akureyrarbær,2018,A-hluti,rekstrarnidurstada,-0.023318795211786248,0,-0.023318795211786248,FALSE
Akureyrarbær,2018,A-hluti,framlegd,0.05501109734709548,0.08591539317404098,-0.030904295826945503,FALSE
Akureyrarbær,2018,A-hluti,veltufe,0.0850572894302696,0.04295769658702049,0.042099592843249115,TRUE
Akureyrarbær,2018,A-hluti,veltufjarhlutfall,1.1972889541720455,1,0.1972889541720455,TRUE
Akureyrarbær,2018,A og B-hluti,nettoskuldir,0.9307929441664747,1,-0.06920705583352527,FALSE
Akureyrarbær,2018,A og B-hluti,rekstrarnidurstada,0.011852283289639387,0,0.011852283289639387,TRUE
Akureyrarbær,2018,A og B-hluti,framlegd,0.12164939741123434,0.09307929441664747,0.02857010299458687,TRUE
Akureyrarbær,2018,A og B-hluti,veltufe,0.12571053861651654,0.04653964720832374,0.0791708914081928,TRUE
Akureyrarbær,2018,A og B-hluti,veltufjarhlutfall,1.3828604544800471,1,0.38286045448004713,TRUE
Akureyrarbær,2019,A-hluti,nettoskuldir,0.7897657707779674,1,-0.2102342292220326,FALSE
Akureyrarbær,2019,A-hluti,rekstrarnidurstada,-0.014959596374214727,0,-0.014959596374214727,FALSE
Akureyrarbær,2019,A-hluti,framlegd,0.07629888587186473,0.07897657707779673,-0.0026776912059320035,FALSE
Akureyrarbær,2019,A-hluti,veltufe,0.06973991562253222,0.03948828853889837,0.030251627083633853,TRUE
Akureyrarbær,2019,A-hluti,veltufjarhlutfall,1.1714976624588893,1,0.1714976624588893,TRUE
Akureyrarbær,2019,A og B-hluti,nettoskuldir,0.925836199168676,1,-0.07416380083132401,FALSE
Akureyrarbær,2019,A og B-hluti,rekstrarnidurstada,0.018221410119735694,0,0.018221410119735694,TRUE
Akureyrarbær,2019,A og B-hluti,framlegd,0.1264748437128157,0.0925836199168676,0.0338912237959481,TRUE
Akureyrarbær,2019,A og B-hluti,veltufe,0.10942549659639281,0.0462918099584338,0.06313368663795901,TRUE
